,country,year,donations,receipts,net_donations,cumulative_donations,,,,
283,Bulgaria,2003,22,0,22,109,,,,
284,Bulgaria,2004,27,0,27,136,,,,
285,Bulgaria,2005,23,0,23,159,,,,
286,Bulgaria,2006,23,0,23,182,,,,
287,Bulgaria,2007,26,0,26,208,,,,
288,Bulgaria,2008,27,0,27,235,,,,
289,Bulgaria,2009,27,0,27,262,,,,
290,Bulgaria,2010,28,0,28,290,,,,
291,Bulgaria,2011,28,0,28,318,,,,
292,Bulgaria,2012,46,0,46,364,,,,
293,Bulgaria,2013,29,0,29,393,,,,
294,Bulgaria,2014,17,0,17,410,,,,
295,Bulgaria,2015,18,0,18,428,,,,
296,Bulgaria,2016,25,0,25,453,,,,
297,Canada,1980,1409,0,1409,1409,,,,
298,Canada,1981,1119,0,1119,2528,,,,
299,Canada,1982,1159,0,1159,3687,,,,
300,Canada,1983,789,0,789,4476,,,,
301,Canada,1984,1253,0,1253,5729,,,,
302,Canada,1985,1683,0,1683,7412,,,,
303,Canada,1986,2576,0,2576,9988,,,,
304,Canada,1987,3803,0,3803,13791,,,,
305,Canada,1988,3970,0,3970,17761,,,,
306,Canada,1989,7157,0,7157,24918,,,,
307,Canada,1990,13568,0,13568,38486,,,,
308,Canada,1991,12567,0,12567,51053,,,,
309,Canada,1992,6915,0,6915,57968,,,,
310,Canada,1993,4902,0,4902,62870,,,,
311,Canada,1994,5298,0,5298,68168,,,,
312,Canada,1995,3177,0,3177,71345,,,,
313,Canada,1996,1919,0,1919,73264,,,,
314,Canada,1997,1472,0,1472,74736,,,,
315,Canada,1998,1329,0,1329,76065,,,,
316,Canada,1999,1594,0,1594,77659,,,,
317,Canada,2000,1903,0,1903,79562,,,,
318,Canada,2001,2578,0,2578,82140,,,,
319,Canada,2002,2332,0,2332,84472,,,,
320,Canada,2003,3179,0,3179,87651,,,,
321,Canada,2004,3293,0,3293,90944,,,,
322,Canada,2005,3709,0,3709,94653,,,,
323,Canada,2006,3802,0,3802,98455,,,,
324,Canada,2007,3467,0,3467,101922,,,,
325,Canada,2008,3566,0,3566,105488,,,,
326,Canada,2009,3077,0,3077,108565,,,,
327,Canada,2010,3432,0,3432,111997,,,,
328,Canada,2011,3072,0,3072,115069,,,,
329,Canada,2012,1614,0,1614,116683,,,,
330,Canada,2013,2172,0,2172,118855,,,,
331,Canada,2014,1024,0,1024,119879,,,,
332,Canada,2015,867,0,867,120746,,,,
333,Canada,2016,741,0,741,121487,,,,
334,Croatia,1980,0,0,0,0,,,,
335,Croatia,1981,0,0,0,0,,,,
336,Croatia,1982,0,0,0,0,,,,
337,Croatia,1983,0,0,0,0,,,,
338,Croatia,1984,0,0,0,0,,,,
339,Croatia,1985,0,0,0,0,,,,
340,Croatia,1986,0,0,0,0,,,,
341,Croatia,1987,0,0,0,0,,,,
342,Croatia,1988,0,0,0,0,,,,
343,Croatia,1989,0,0,0,0,,,,
344,Croatia,1990,0,0,0,0,,,,
345,Croatia,1991,0,0,0,0,,,,
346,Croatia,1992,0,0,0,0,,,,
347,Croatia,1993,0,0,0,0,,,,
348,Croatia,1994,0,0,0,0,,,,
349,Croatia,1995,0,0,0,0,,,,
350,Croatia,1996,0,0,0,0,,,,
351,Croatia,1997,0,0,0,0,,,,
352,Croatia,1998,0,0,0,0,,,,
353,Croatia,1999,0,0,0,0,,,,
354,Croatia,2000,0,0,0,0,,,,
355,Croatia,2001,0,0,0,0,,,,
356,Croatia,2002,0,0,0,0,,,,
357,Croatia,2003,0,0,0,0,,,,
358,Croatia,2004,0,0,0,0,,,,
359,Croatia,2005,0,0,0,0,,,,
360,Croatia,2006,0,0,0,0,,,,
361,Croatia,2007,0,0,0,0,,,,
362,Croatia,2008,0,0,0,0,,,,
363,Croatia,2009,0,0,0,0,,,,
364,Croatia,2010,0,0,0,0,,,,
365,Croatia,2011,2,0,2,2,,,,
366,Croatia,2012,0,0,0,2,,,,
367,Croatia,2013,5,0,5,7,,,,
368,Croatia,2014,0,0,0,7,,,,
369,Croatia,2015,0,0,0,7,,,,
370,Croatia,2016,0,0,0,7,,,,
371,Côte d'Ivoire,1982,0,0,0,0,,,,
372,Côte d'Ivoire,1983,0,0,0,0,,,,
373,Côte d'Ivoire,1984,0,0,0,0,,,,
374,Côte d'Ivoire,1985,0,0,0,0,,,,
375,Côte d'Ivoire,1986,0,0,0,0,,,,
376,Côte d'Ivoire,1987,0,0,0,0,,,,
377,Côte d'Ivoire,1988,0,0,0,0,,,,
378,Côte d'Ivoire,1989,0,0,0,0,,,,
379,Côte d'Ivoire,1990,0,0,0,0,,,,
380,Côte d'Ivoire,1991,0,0,0,0,,,,
381,Côte d'Ivoire,1992,0,0,0,0,,,,
382,Côte d'Ivoire,1993,0,0,0,0,,,,
383,Côte d'Ivoire,1994,0,0,0,0,,,,
384,Côte d'Ivoire,1995,0,0,0,0,,,,
385,Côte d'Ivoire,1996,0,0,0,0,,,,
386,Côte d'Ivoire,1997,0,0,0,0,,,,
387,Côte d'Ivoire,1998,0,0,0,0,,,,
388,Côte d'Ivoire,1999,0,0,0,0,,,,
389,Côte d'Ivoire,2000,0,0,0,0,,,,
390,Côte d'Ivoire,2001,0,0,0,0,,,,
391,Côte d'Ivoire,2002,0,0,0,0,,,,
392,Côte d'Ivoire,2003,0,0,0,0,,,,
393,Côte d'Ivoire,2004,0,0,0,0,,,,
394,Côte d'Ivoire,2005,0,0,0,0,,,,
395,Côte d'Ivoire,2006,0,0,0,0,,,,
396,Côte d'Ivoire,2007,1,0,1,1,,,,
397,Côte d'Ivoire,2008,1,0,1,2,,,,
398,Côte d'Ivoire,2009,1,0,1,3,,,,
399,Côte d'Ivoire,2010,1,0,1,4,,,,
400,Côte d'Ivoire,2011,1,0,1,5,,,,
401,Côte d'Ivoire,2012,1,0,1,6,,,,
402,Côte d'Ivoire,2013,1,0,1,7,,,,
403,Côte d'Ivoire,2014,1,0,1,8,,,,
404,Côte d'Ivoire,2015,1,0,1,9,,,,
405,Côte d'Ivoire,2016,0,0,0,9,,,,
406,Curacao,1982,0,0,0,0,,,,
